id,cnt
366,1761.875854
367,1683.97876
368,2087.278076
369,2057.177979
370,2647.713135
371,2176.47876
372,1933.43335
373,2079.159912
374,2477.272461
375,2212.496338
376,2644.764648
377,1763.691162
378,2346.792969
379,1763.952637
380,1669.984985
381,1316.901978
382,2202.617676
383,2395.259277
384,2071.479004
385,2085.77002
386,1636.812866
387,1577.136841
388,1766.707397
389,2492.202881
390,2019.723022
391,2389.468262
392,2296.088623
393,2370.380127
394,1857.498779
395,2397.241455
396,2194.291748
397,4083.378906
398,1989.636597
399,2251.061523
400,2244.116211
401,1336.233276
402,1860.074585
403,2265.243164
404,2600.241455
405,2371.449707
406,2550.976318
407,1725.733765
408,1645.396606
409,1889.356201
410,2219.794189
411,2139.75415
412,2243.824219
413,2742.192627
414,2141.756348
415,1751.561401
416,1565.789429
417,2310.430664
418,2416.633545
419,2353.968262
420,2610.451172
421,2074.766602
422,1875.287476
423,2414.657959
424,2491.115234
425,1802.088623
426,4037.641113
427,2189.621338
428,2489.454102
429,2386.387939
430,2374.200684
431,2419.196289
432,2156.310791
433,3359.612061
434,2539.596436
435,2119.432617
436,2375.479248
437,4211.640625
438,4145.289063
439,4221.922363
440,4100.257324
441,3051.118652
442,4377.551758
443,3824.65918
444,3735.674805
445,3876.836914
446,4183.40332
447,3638.493164
448,4285.230957
449,3400.803711
450,2944.452881
451,3192.481445
452,3120.568604
453,4125.473633
454,4137.54248
455,2757.564697
456,2569.832764
457,2841.962158
458,3174.877686
459,4554.825195
460,4524.640137
461,3301.444336
462,3091.311279
463,3120.456543
464,3918.248535
465,4155.80127
466,3218.580811
467,2999.752686
468,2781.007324
469,3391.972656
470,4095.55127
471,3797.87793
472,3886.195801
473,4338.080566
474,3794.959961
475,4085.881104
476,3842.430176
477,3934.511963
478,1393.582397
479,1941.893555
480,3203.029785
481,4458.062012
482,3668.076172
483,3311.049072
484,2790.043457
485,3116.543457
486,4159.264648
487,4295.719238
488,3819.944092
489,4185.896973
490,3906.147461
491,4086.348877
492,4465.263672
493,4061.509033
494,3939.501465
495,4071.428467
496,4037.490234
497,4504.131348
498,4488.94043
499,3747.621338
500,3665.587402
501,4143.444824
502,3786.546631
503,4041.39917
504,4313.976563
505,4621.479004
506,3875.256348
507,3773.87793
508,4093.451172
509,4094.258789
510,3943.435791
511,4302.147461
512,4041.700928
513,3417.479492
514,3583.339355
515,3746.804688
516,4423.727539
517,4366.494629
518,4260.791504
519,3781.079834
520,4077.415771
521,4377.257813
522,4317.291504
523,4238.803223
524,4062.503174
525,4505.600586
526,4272.337891
527,4063.072754
528,4156.488281
529,3721.770264
530,4068.877441
531,4147.345215
532,4213.199707
533,3935.544678
534,4025.199463
535,3950.155029
536,4117.262695
537,3907.537109
538,4204.177734
539,4164.423828
540,4002.674316
541,3986.311523
542,4180.771484
543,4468.289551
544,4070.331543
545,4234.068359
546,3708.253906
547,4205.987305
548,3425.862305
549,4061.628662
550,4431.944824
551,3796.255615
552,3808.771484
553,3864.009521
554,3240.879395
555,3693.755127
556,4307.332031
557,4376.748047
558,4137.560059
559,4348.821777
560,4897.813965
561,4409.421387
562,3582.755127
563,3957.517578
564,3856.90332
565,3999.369873
566,4134.777832
567,3788.19873
568,2533.38208
569,4403.768066
570,3692.984375
571,3585.094727
572,4182.695313
573,4158.359863
574,4176.684082
575,4208.510254
576,4011.441895
577,3671.762451
578,3931.324219
579,3913.483887
580,4228.124512
581,4312.138672
582,4253.799805
583,3820.661133
584,4231.959961
585,4188.849121
586,4364.38623
587,4137.87793
588,4051.336914
589,4086.479492
590,4198.561523
591,4215.913086
592,4114.935547
593,4095.2229
594,4357.70459
595,3189.851563
596,4346.335449
597,4437.900879
598,4378.566406
599,4453.258789
600,4427.964355
601,4356.558105
602,4888.771973
603,3897.539795
604,3562.613281
605,4067.398438
606,4320.378906
607,4163.220215
608,4627.388184
609,4200.061035
610,4563.102051
611,4561.750488
612,3423.335693
613,3946.470459
614,3750.530273
615,4102.736328
616,4054.029053
617,3248.493408
618,3803.030518
619,4109.595215
620,4361.904297
621,4291.719238
622,4483.790039
623,4362.287109
624,3963.07373
625,4318.926758
626,4121.561035
627,3116.431885
628,4085.168701
629,4233.980469
630,4001.959473
631,4286.599121
632,4176.775879
633,4531.208496
634,4150.186035
635,4082.584961
636,4728.137207
637,4491.565918
638,3943.883789
639,3990.780029
640,4561.728027
641,2600.115234
642,4332.351074
643,4484.298828
644,4445.672852
645,3999.704102
646,3054.368164
647,2199.111816
648,3362.868408
649,4175.116211
650,3519.999756
651,3530.218262
652,3504.17749
653,4013.567871
654,3923.070313
655,4129.600586
656,3448.097412
657,3946.109863
658,4129.351563
659,4078.885254
660,3402.55957
661,4313.013672
662,4255.371582
663,4498.052246
664,4149.070313
665,4136.670898
666,3914.907715
667,2454.336426
668,1586.086304
669,2831.310303
670,3261.232666
671,3265.540771
672,3793.77417
673,3460.963135
674,3537.044678
675,3643.755371
676,3476.099854
677,3127.353027
678,3676.374756
679,3795.480957
680,3687.698975
681,3410.856934
682,3568.206543
683,2633.851807
684,3522.340576
685,3542.750488
686,3726.642578
687,3573.432129
688,3350.60376
689,3263.464844
690,3184.952881
691,3846.179443
692,2457.906738
693,3557.590332
694,2590.784424
695,2394.505615
696,3675.105713
697,3182.811279
698,3473.215332
699,3445.37085
700,3891.699951
701,2865.486084
702,3291.662354
703,3433.81958
704,3672.612305
705,3464.309326
706,2931.356445
707,3439.240234
708,3391.084717
709,3272.562012
710,3192.606934
711,3386.030273
712,3021.945557
713,3475.618408
714,3772.203613
715,3741.896484
716,3199.851563
717,3782.515381
718,3188.603516
719,3780.284424
720,3625.775635
721,2491.518066
722,1884.64624
723,2010.860596
724,2498.228516
725,1405.529419
726,2049.606934
727,2289.674561
728,1939.861572
729,2254.921631
730,1758.071655
731,1992.674561
